ID	choice	tt1	tt2	tc1	tc2	sex	age	nrcars
17	1	15	20	1.04	0.52	1	77	2
17	1	18	15	0.52	1.04	1	77	2
17	1	12	15	1.04	0.91	1	77	2
17	1	15	18	1.3	1.04	1	77	2
17	2	20	15	1.04	1.3	1	77	2
17	2	10	15	2.02	1.04	1	77	2
17	1	15	10	0.13	1.04	1	77	2
24	1	10	5	0.52	1.95	2	34	3
24	2	15	10	0.33	0.52	2	34	3
24	1	7	10	0.59	0.52	2	34	3
24	1	10	13	0.52	0.33	2	34	3
24	2	13	10	0.52	1.04	2	34	3
24	1	10	15	1.04	0.52	2	34	3
24	1	5	10	0.52	0.13	2	34	3
24	2	10	7	0.46	0.52	2	34	3
28	2	40	50	3.12	0.72	1	78	2
28	2	30	40	3.64	3.12	1	78	2
28	2	37	40	3.12	2.8	1	78	2
28	1	50	40	3.12	4.62	1	78	2
28	1	40	37	3.12	3.38	1	78	2
28	1	40	30	2.28	3.12	1	78	2
28	1	43	40	3.06	3.12	1	78	2
28	1	40	43	3.19	3.12	1	78	2
33	1	13	8	5.2	5.46	1	62	2
33	1	13	16	5.2	5.14	1	62	2
33	2	10	13	5.46	5.2	1	62	2
33	2	13	18	6.18	5.2	1	62	2
33	1	13	10	4.68	5.2	1	62	2
33	1	18	13	3.71	5.2	1	62	2
33	2	8	13	5.2	4.68	1	62	2
34	2	20	25	3.12	2.15	2	54	2
34	2	15	20	3.64	3.12	2	54	2
34	2	23	20	3.06	3.12	2	54	2
34	1	25	20	3.12	4.55	2	54	2
34	2	20	15	2.86	3.12	2	54	2
34	1	17	20	3.12	2.86	2	54	2
34	1	20	23	3.25	3.12	2	54	2
34	1	20	17	3.12	3.58	2	54	2
40	2	12	15	0.78	0.72	2	68	2
40	1	12	9	0.52	0.78	2	68	2
40	2	9	12	1.17	0.78	2	68	2
40	2	7	12	0.78	0.52	2	68	2
40	2	12	17	2.93	0.78	2	68	2
40	2	15	12	0.78	0.85	2	68	2
40	1	12	7	0.78	1.3	2	68	2
40	1	17	12	0.13	0.78	2	68	2
45	1	20	23	11.31	11.25	1	74	2
45	2	20	25	12.16	11.31	1	74	2
45	1	20	17	10.86	11.31	1	74	2
45	2	17	20	11.57	11.31	1	74	2
45	2	23	20	11.31	11.38	1	74	2
45	1	25	20	9.88	11.31	1	74	2
45	1	20	15	11.31	11.44	1	74	2
45	2	15	20	11.31	10.86	1	74	2
47	2	45	60	2.86	0.13	2	74	2
47	1	45	42	2.86	3.06	2	74	2
47	1	45	30	1.69	2.86	2	74	2
47	2	42	45	2.86	2.47	2	74	2
47	1	60	45	2.86	4.81	2	74	2
47	2	30	45	3.38	2.86	2	74	2
47	1	48	45	2.8	2.86	2	74	2
47	1	45	48	2.93	2.86	2	74	2
51	1	12	7	0.26	0.85	2	35	2
51	2	7	12	0.26	0.13	2	35	2
51	1	17	12	0.13	0.26	2	35	2
51	2	12	17	0.52	0.26	2	35	2
51	1	15	12	0.26	0.52	2	35	2
51	2	12	9	0.2	0.26	2	35	2
51	2	12	15	0.26	0.13	2	35	2
51	2	9	12	0.33	0.26	2	35	2
66	1	90	110	9.23	8.91	1	37	2
66	2	110	90	9.23	9.88	1	37	2
66	1	120	90	4.03	9.23	1	37	2
66	1	60	90	9.23	7.61	1	37	2
